path	resolution	group	reason
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V003R1/histories/001352__SHARP_SUMMARY.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V003R1/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V003R1/lifecycle/000002__V003_NUMERICAL_REPAIR_OPEN.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V003R1/lifecycle/001355__BRANCH_COMPLETE.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_TARGET_STORAGE_CACHE_V005/HOSTILE_AUDIT_RESULT_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V005/TARGET_V005_RUNTIME_COMPATIBILITY_OBSTRUCTION_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V006/HOSTILE_AUDIT_OBSTRUCTION_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V007/HOSTILE_AUDIT_RESULT_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V007/TARGET_V007_RUNTIME_COMPATIBILITY_OBSTRUCTION_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V008/HOSTILE_AUDIT_RESULT_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V008/POSTBUILD_PAYLOAD_AUDIT_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V008/V008_POSTBUILD_AUDIT_BINDING_OBSTRUCTION_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V009/HOSTILE_AUDIT_OBSTRUCTION_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V010/AUDIT_RECORD_CUSTODY_CORRECTION_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V010/HOSTILE_AUDIT_OBSTRUCTION_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
AUDIT_R_L12_TARGET_STORAGE_CACHE_V011/HOSTILE_AUDIT_OBSTRUCTION_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_GRADED_ALLOW_BLOCK_RESPONSE_V001/explore_block_response.py	exclude	-	legacy Stage-6 exploratory adapter is not part of the governing finite ARGER Gate implementation
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V001/RELAUNCH_ALLOCATION_V001.json	exclude	-	raw worker handshake or relaunch allocation state is operational journal data, not a proof input
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/RELAUNCH_ALLOCATION_V002.json	exclude	-	raw worker handshake or relaunch allocation state is operational journal data, not a proof input
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/forced_unresolved/evidence/comparison/000004__PRE_GATE_COMPARISON.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/forced_unresolved/evidence/histories/000002__ROUGH_SUMMARY.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/forced_unresolved/evidence/histories/000003__SHARP_SUMMARY.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/forced_unresolved/evidence/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/forced_unresolved/evidence/lifecycle/000005__EXPECTED_GATE_REFUSAL.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/normal_completion/hostile/evidence/comparison/000118__PRE_GATE_COMPARISON.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/normal_completion/hostile/evidence/histories/000059__ROUGH_SUMMARY.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/normal_completion/hostile/evidence/histories/000116__SHARP_SUMMARY.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/normal_completion/hostile/evidence/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/normal_completion/target/evidence/comparison/000098__PRE_GATE_COMPARISON.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/normal_completion/target/evidence/histories/000049__ROUGH_SUMMARY.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/normal_completion/target/evidence/histories/000096__SHARP_SUMMARY.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002/normal_completion/target/evidence/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002_SANDBOX_OBSTRUCTION_001/normal_completion/evidence/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002_TARGET_ONLY_PASS_001/forced_unresolved/evidence/comparison/000004__PRE_GATE_COMPARISON.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002_TARGET_ONLY_PASS_001/forced_unresolved/evidence/histories/000002__ROUGH_SUMMARY.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002_TARGET_ONLY_PASS_001/forced_unresolved/evidence/histories/000003__SHARP_SUMMARY.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002_TARGET_ONLY_PASS_001/forced_unresolved/evidence/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002_TARGET_ONLY_PASS_001/forced_unresolved/evidence/lifecycle/000005__EXPECTED_GATE_REFUSAL.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002_TARGET_ONLY_PASS_001/normal_completion/evidence/comparison/000098__PRE_GATE_COMPARISON.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002_TARGET_ONLY_PASS_001/normal_completion/evidence/histories/000049__ROUGH_SUMMARY.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002_TARGET_ONLY_PASS_001/normal_completion/evidence/histories/000096__SHARP_SUMMARY.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_PROCESS_PARALLEL_SUCCESSOR_V002/TEST_ARTIFACTS/L4_GATEWAYS_V002_TARGET_ONLY_PASS_001/normal_completion/evidence/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated synthetic test evidence; selected test source and canonical results preserve the executable check
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/DUAL_SIX_HOUR_OBSTRUCTION_GATE_V005.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/FREEZE.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/HOSTILE_PACKET_AUDIT_V002.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/METHOD.md	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/OBSTRUCTION_EVIDENCE/HOSTILE_V003_EXECUTION_LOG.md	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/OBSTRUCTION_EVIDENCE/HOSTILE_V003_OBSTRUCTION.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/OBSTRUCTION_EVIDENCE/HOSTILE_V003_WALL_MONITOR.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/OBSTRUCTION_EVIDENCE/TARGET_V004_EXECUTION_LOG.md	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/OBSTRUCTION_EVIDENCE/TARGET_V004_OBSTRUCTION.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/OBSTRUCTION_EVIDENCE/TARGET_V004_WALL_MONITOR.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/PREFLIGHT_RESULT.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/PREFLIGHT_RESULT_SUPERSEDED_WRONG_HOSTILE_PARENT.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/PREFLIGHT_RESULT_V002.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/build_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/consume_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V005/validate_preflight.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V006/FREEZE.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V006/METHOD.md	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V006/PREFLIGHT_RESULT_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V006/build_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V006/consume_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V006/validate_preflight.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V007/DUAL_OBSTRUCTION_AND_COMPATIBILITY_GATE_V007.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V007/FREEZE.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V007/METHOD.md	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V007/PREFLIGHT_RESULT_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V007/build_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V007/consume_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V007/validate_preflight.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V008/DUAL_OBSTRUCTION_AND_COMPATIBILITY_GATE_V008.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V008/FREEZE.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V008/METHOD.md	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V008/PREFLIGHT_RESULT_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V008/build_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V008/consume_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V008/validate_preflight.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V009/FREEZE.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V009/METHOD.md	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V009/PREFLIGHT_RESULT_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V009/build_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V009/consume_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V009/validate_preflight.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V010/FREEZE.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V010/METHOD.md	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V010/PREFLIGHT_RESULT_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V010/build_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V010/consume_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V010/validate_preflight.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V011/FREEZE.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V011/METHOD.md	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V011/PREFLIGHT_RESULT_V001.json	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V011/build_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V011/consume_target_cache.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V011/validate_preflight.py	exclude	-	superseded L12 cache iteration; selected V012 source, gates, audits, and physical outputs are canonical
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V002/comparison/004796__PRE_GATE_COMPARISON.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V002/histories/002222__ROUGH_SUMMARY.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V002/histories/004794__SHARP_SUMMARY.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V002/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V002/lifecycle/004797__BRANCH_REFUSAL.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V003/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V003/lifecycle/000002__V003_NUMERICAL_REPAIR_OPEN.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V003/lifecycle/000003__BRANCH_REFUSAL.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V003R1/comparison/006207__PRE_GATE_COMPARISON.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V003R1/histories/002680__ROUGH_SUMMARY.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V003R1/histories/006205__SHARP_SUMMARY.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V003R1/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V003R1/lifecycle/000002__V003_NUMERICAL_REPAIR_OPEN.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L12_TARGET_STORAGE_CACHE_V012/EVIDENCE/L12_PROCESS_PARALLEL_V003R1/lifecycle/006208__BRANCH_COMPLETE.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
DEVELOPMENT_R_L14_TARGETED_SCOUT_V001/MASS_FEASIBILITY.json	defer	-	early feasibility output embeds workstation paths and is superseded by the selected V003 capacity implementation
